Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Homepage,12500,163,136,312,408,495,38,655,"0,000%","1399,61930","270,63","150,35"
TOTAL,12500,163,136,312,408,495,38,655,"0,000%","1399,61930","270,63","150,35"
