Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Homepage,5000,65,60,93,115,140,36,389,"0,000%","923,53158","178,57","99,21"
TOTAL,5000,65,60,93,115,140,36,389,"0,000%","923,53158","178,57","99,21"
