Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Homepage,250000,1689,1492,3378,4390,7009,36,11091,"29,340%","672,36835","629,93","51,04"
TOTAL,250000,1689,1492,3378,4390,7009,36,11091,"29,340%","672,36835","629,93","51,04"
