Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Homepage,2500,49,48,61,65,73,36,85,"0,000%","469,13117","90,71","50,39"
TOTAL,2500,49,48,61,65,73,36,85,"0,000%","469,13117","90,71","50,39"
