Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Homepage,1250,42,40,49,59,75,36,92,"0,000%","240,24601","46,45","25,81"
TOTAL,1250,42,40,49,59,75,36,92,"0,000%","240,24601","46,45","25,81"
