Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Homepage,50000,557,212,2176,2627,3465,37,7622,"0,000%","1213,03282","234,55","130,31"
TOTAL,50000,557,212,2176,2627,3465,37,7622,"0,000%","1213,03282","234,55","130,31"
