Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Homepage,500,40,39,45,49,58,36,62,"0,000%","96,63703","18,69","10,38"
TOTAL,500,40,39,45,49,58,36,62,"0,000%","96,63703","18,69","10,38"
