Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Homepage,250,94,39,52,628,1107,36,1257,"0,000%","42,57493","8,23","4,57"
TOTAL,250,94,39,52,628,1107,36,1257,"0,000%","42,57493","8,23","4,57"
