Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Homepage,25000,157,143,270,325,553,36,1224,"0,000%","1477,10487","285,61","158,67"
TOTAL,25000,157,143,270,325,553,36,1224,"0,000%","1477,10487","285,61","158,67"
