Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Homepage,50000,1863,1995,4218,6352,9081,38,11530,"50,000%","111,46955","162,80","5,99"
TOTAL,50000,1863,1995,4218,6352,9081,38,11530,"50,000%","111,46955","162,80","5,99"
