Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Homepage,25000,666,224,2001,2158,2483,37,3503,"0,000%","1031,48079","199,45","110,80"
TOTAL,25000,666,224,2001,2158,2483,37,3503,"0,000%","1031,48079","199,45","110,80"
