Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Homepage,25000,320,179,935,1260,1718,36,3926,"0,000%","1237,43998","239,27","132,93"
TOTAL,25000,320,179,935,1260,1718,36,3926,"0,000%","1237,43998","239,27","132,93"
